location,collection,merge_below,notes
AD,DAPANF,,
AD,DAPAFI,,
AD,CDAFI,,
AD,CDANF,,
AD,LPNF,,
AD,LPFI,,
AD,LPFIMY,,
AD,LPFIWE,,
AD,BKAFI,true,
AD,BKAFIHL,true,
AD,BKAFIWE,true,
AD,BKAFISL,,
AD,BKAFIMY,,
AD,PAAFI,,
AD,MAA,,
AD,BKAFIWL,true,
AD,BKANFWL,true,
AD,CDAWL,,
AD,TEST,true,
TEST,BKANFJO,,
AD,BKAFIRO,true,
AD,PAAFIRO,,
AD,BKAFISF,true,
AD,BKAFIFA,,
AD,BKANFGN,true,
AD,BKAFIGN,,
AD,BKANF,true,
AD,BKANFHL,true,
SC,BKANF,true,
AD,SC,,
NA,BKAFI,true,
NA,BKAFISL,true,
NA,BKAFIHL,true,
NA,BKAFIWE,,
NA,BKAFIMY,,
NA,BKAFIRO,,
NA,BKAFIFA,true,
NA,BKAFISF,,
NA,BKANF,true,
NA,BKANFHL,,
AD,CDAMS,,
AD,DBRANF,,
AD,DBRAFF,,
AD,DBRAFE,,
AD,DBRATV,,
AD,DVDANF,,
AD,DVDAFE,,
AD,DVDAFF,,
AD,DVDATV,,
CH,DBRJNF,,
CH,DBRJFE,true,
CH,DBRJ,,
CH,DBRJFF,,
CH,DBRJTV,,
CH,DVDJNF,,
CH,DVDJFE,,
CH,CDJMS,,
CH,SOJ,true,
CH,SOY,,
CH,BKJFI14,,
CH,ERJFI,,
CH,PBJFI,,
CH,PBJFIBB,,
CH,BKJNFGN,true,
CH,BKJFIGN,,
CH,MAJ,,
CH,BKJNFWL,true,
CH,PBJFIWL,true,
CH,BKJFIWL,true,
CH,BKJNFBI,true,
CH,PBJFIBI,,
CH,PBJBBBI,true,
CH,CDJWL,,
CH,DAPJ,,
CH,CDJNF,,
CH,CDJFI,,
CH,BCDJ,,
NC,PBJFI,,
NC,BKJNF,,
NC,BKJFI14,,
NC,BKJFI,,
CH,BKJFI,true,
CH,BKJFIMY,true,
CH,PAJFI,,
CHOV,BKJFI,,
CH,BKJNF,,
NT,BKYFI,,
TE,BKYFI,true,
TE,PAYFI,,
NT,BKYNF,,
TE,BKYNF,,
TE,DAPYNF,,
TE,DAPYFI,,
TE,CDY,,
TE,SOY,true,
TE,SOJ,,
TE,BKYFIGN,true,
TE,BKYNFGN,,
TE,MAY,,(Teen magazines--not sure how they're coded)
ASK,EQ,,
