location,collection,merge_below,notes
1F,CDAMS,,CDs
1F,DBRAFE,,DVDs/Blu-ray
1F,DBRAFF,,
1F,DBRANF,,
1F,DBRATV,,
1F,DVDANF,,
1F,DVDAFE,,
1F,DVDAFF,,
1F,DVDATV,,
AD1F,DVDATV,,
1F,BKAFISF,true,FICTION
1F,BKAFIFA,,
1F,BKAFIRO,,
1F,BKAFIWE,,
1F,BKAFIMY,,
1F,BKAFI,true,
1F,BKAFIHL,,
1F,LPFI,,
1F,LPFIMY,,
1F,LPFIWE,,
1F,LPNF,,
TEST,BKANFJO,,2ND FLOOR
2F,MAA,,
NA2F,BKANF,,
OV,BKANF,,
2F,SC,,
AUT,BKANF,,
2F,BKANF,true,
2F,BKANFHL,,
2F,MPA,,
CUL,BKAFI,,
CUL,BKANF,,
BC2F,BKAFI,,
ASK,BKAFIID,,LOWER STACKS
ST,BKJNF,,
ST,BKJFI,,
ST,BKANFGN,true,
ST,BKAFIGN,true,
ST,BKYNFGN,true,
ST,BKYFIGN,,
ST,BKANF,,
ST,LPFI,true,
ST,LPFIWE,true,
ST,LPFIMY,,
ST,LPNF,,
ST,CDAFI,,
ST,CDANF,,
ST,BKAFI,true,
ST,BKAFIMY,true,
ST,BKAFIRO,true,
ST,BKAFIWE,true,
ST,BKAFISF,true,
ST,BKAFIFA,true,
ST,BKAFIHL,,
ST,CDAWL,true,
ST,BKANFWL,true,
ST,BKAFIWL,,
ST,MAA,,
ST,CDAMS,,
ST,PH,,
ST,DVDAFE,,
ST,DVDAFF,,
ST,DVDATV,,
ST,DVDANF,,
ASK,EQ,,
1F,DAPAFI,,1ST FLOOR
1F,DAPANF,,
1F,CDAFI,,
1F,CDANF,,
1F,PH,,
TE1F,SOJ,,
TE1F,BKYNFWL,,
TE1F,BKYFIWL,,
NT1F,BKYFI,,
NT1F,BKYNF,,
TE1F,BKYFI,,
TE1F,LPFI,,
TE1F,BKYNF,,
TE1F,BKYNFGN,true,
TE1F,BKYFIGN,,
TE1F,CDYFI,,
TE1F,CDYNF,,
TE1F,DAPY,,
TE1F,MAY,,
1F,SOA,,
AD1F,BKANFGN,true,
AD1F,BKAFIGN,,
1F,BKANFPC,,
NA1F,BKAFISF,true,
NA1F,BKAFIFA,,
NA1F,BKAFIRO,,
NA1F,BKAFIWE,,
NA1F,BKAFIMY,,
NA1F,BKAFI,,
1F,PAAFI,true,
1F,PAAFIRO,,
1F,CDAWL,true,
1F,BKANFWL,true,
1F,BKAFIWL,,
NR1F,BKAFI,,
NR1F,BKANF,,
1F,MAAWL,,
1F,BKAFISL,true,
1F,BKAFIUR,,
NCLL,BKJNF,,YS
NCLL,BKJFI14,,
NCLL,BKJFI,,
CHLL,MAJ,,
CHLL,BKJNFGN,true,
CHLL,BKJFIGN,,
CHLL,ERJFI,,
CHLL,BKJFI14,,
CHLL,BKJFI,,
CHLL,BCDJ,,
CHLL,CDJFI,,
CHLL,CDJNF,,
CHLL,BAEJ,,
CHLL,LPFI,,
CHLL,LPNF,,
NCLL,BKPJFI,,
PCLL,BKJFI,,
PCLL,BKJNF,,
PCLL,CDAWL,,
PCLL,CDANF,,
CHLL,PBJBBBI,true,
CHLL,PBJFIBI,true,
CHLL,PBJFIWL,,
CHLL,CDJWL,,
CHLL,DVDJWL,,
CHLL,BKJFIAW,,
CHLL,BKJNF,,
CHLL,DVDJNF,,
CHLL,DBRJ,,
CHLL,DVDJFE,,
CHLL,CDJMS,,
NCLL,PBJFI,,
CHLL,PBJFI,,
CHLL,PBJFIBB,,
