location,collection,merge_below,notes
STU,BKANF,,
STU,MAA,,
NA,BKAFI,,
NA,BKAFIRO,,
NA,BKAFIMY,,
NA,BKAFIFA,true,
NA,BKAFISF,,
NA,BKANF,,
NT,CDY,,
NAV,CDY,,
NT,SOJ,,
TE,SOJ,,
TE,DAPY,,
TE,CDY,,
TE,MAY,,
NT,BKYNF,,
NT,BKYFI,,
TE,BKYNF,,
TE,BKYNFGN,true,
TE,BKYFIGN,,
TE,BKYNFWL,,
TE,BKYFI,,
TE,PAYFI,,
AD,BKAFIUR,,
AD,BKANFPC,,
AD,BKAFIWL,true,
AD,BKANFWL,true,
AD,CDAWL,,
AD,LPFI,,
AD,LPFIMY,,
AD,LPNF,,
AD,BKAFI,,true
AD.BKAFIHL,,,
AD,BKAFIMY,,
AD,BKAFISF,true,
AD,BKAFIFA,,
AD,BKAFIRO,true,
AD,BKAFIROHL,,
AD,BKAFIWE,,
AD,BKANFGN,true,
AD,BKAFIGN,,
AD,BKANF,true,
AD,SC,true,
NR,BKANF,true,
AD,BKANFGHL,true,
TEST,BKANFJO,,(test guides)
ADOV,BKANF,,
AD,MAA,,
AD,PAAFI,,
AD,PAAFIRO,,
NAV,CDAFI,,
NAV,CDANF,,
AD,CDAFI,,
AD,CDANF,,
AD,DBRAFE,,
AD,DBRAFF,,
AD,DBRATV,,
AD,DBRANF,,
AD,DVDAFE,,
AD,DVDAFF,,
AD,DVDATV,,
AD,DVDANF,,
NAV,DAPAFI,,
NAV,DAPANF,,
AD,DAPAFI,,
AD,DAPANF,,
AD,CDAMS,,
NAV,SOA,,
AD,SOA,,
NAV,DBRAFE,,
NAV,DBRATV,,
NAV,DBRAFF,,
NAV,DBRANF,,
NAV,DVDANF,,
NAV,DVDAFF,,
NAV,DVDATV,,
NAV,DVDAFE,,
NC,BKJNF,,
NC,BKJFI,true,
NC,BKJFI14,,
CH,BKJNFBI,,
CH,PBJFIBI,true,
CH,BKJFIBI,,
CH,BKJNFWL,,
CH,BKJFIWL,,
CH,DVDAWL,,
CH,CDJWL,,
CH,BKJNF,,
NAV,CDJFI,,
CH,CDJFI,,
NAV,DBRJ,,
NAV,DAPJ,,
CH,DAPJ,,
CH,CDJMS,,
NAV,SOJ,,
CH,SOJ,,
CH,DBRJ,,
NAV,DVDJFE,,
CH,DVDJFE,,
CH,BKJNFGN,,
CH,BKJFIGN,,
CH,MAJ,,
CH,BKJFI,true,
CH,BKJFIMY,true,
CH,PAJFI,,
CH,BKJFI14,,
CH,PBJFIWL,,
PC,BKANF,,
CH,PBJFI,,*There's specialized sort order hard-coded into the macro
CH,ERJFI,,
APB,PBJFIWL,,
CH,CDJFI,,
NC,PBJFI,,*There's specialized sort order hard-coded into the macro
CH,PBJFIBB,,
CH,PBJFIBBWL,,
